Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
Disease	617982	VERVERI-BRADY SYNDROME	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	QRICH1
Disease	613382	BRACHYDACTYLY, TYPE E2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PTHLH
Disease	113500	BRACHYOLMIA TYPE 3	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C1854465	Tuberous sclerosis 1	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TSC1
Disease	615685	SPASTIC PARAPLEGIA 61, AUTOSOMAL RECESSIVE	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ARL6IP1
Disease	cv:C5231433	Rothmund-Thomson syndrome type 1	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ANAPC1
Disease	614116	NEUROPATHY, HEREDITARY SENSORY, TYPE IE	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DNMT1
Disease	613028		OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PTEN
Disease	618719	MEGABLADDER, CONGENITAL	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MYOCD
Disease	251750	MICROSPHEROPHAKIA AND/OR MEGALOCORNEA, WITH ECTOPIA LENTIS AND WITH OR WITHOUT SECONDARY GLAUCOMA	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LTBP2
Disease	cv:CN072330	Cowden syndrome 1	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PTEN
Disease	158350	COWDEN SYNDROME 1	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PTEN
Disease	204690	AMELOGENESIS IMPERFECTA, TYPE IG	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	FAM20A
Disease	cv:C1854336	Paragangliomas 3	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SDHC
Disease	617633	SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 26	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	XRCC1
Disease	617755	NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES AND DISTAL LIMB ANOMALIES	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	BPTF
Disease	cv:C1866560	Anterior segment dysgenesis 3	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	FOXC1
Disease	212070	CARBOXYPEPTIDASE N DEFICIENCY	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CPN1
Disease	614128	LACTATE DEHYDROGENASE B DEFICIENCY	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LDHB
Disease	cv:C4310793	Heart and brain malformation syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SMG9
Disease	175800	POROKERATOSIS 1, MULTIPLE TYPES	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PMVK
Disease	cv:C1843153	Charcot-Marie-Tooth disease type 2J	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZ
Disease	cv:C5436885	Cardioacrofacial dysplasia 1	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PRKACA
Disease	cv:C3553404	Auriculocondylar syndrome 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PLCB4
Disease	cv:C5543466	VISCERAL MYOPATHY 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MYH11
Disease	cv:C3281125	Thrombocythemia 3	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	JAK2
Disease	cv:C5543228	Neurodevelopmental disorder with cerebral atrophy and variable facial dysmorphism	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TTC5
Disease	cv:C2931783	Amelogenesis imperfecta type 1G	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	FAM20A
Disease	cv:C1263858	Merosin deficient congenital muscular dystrophy	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LAMA2
Disease	613086	GLAUCOMA 3, PRIMARY CONGENITAL, D	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LTBP2
Disease	619985		OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	C18orf32
Disease	cv:C5543334	Leukodystrophy, hypomyelinating, 21	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	POLR3K
Disease	cv:C4479260	Avascular necrosis of femoral head, primary, 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C1832370	Desmin-related myofibrillar myopathy	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DES
Disease	614063	N-ACETYLASPARTATE DEFICIENCY	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	NAT8L
Disease	615032	INTELLECTUAL DEVELOPMENTAL DISORDER WITH AUTISM AND MACROCEPHALY	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CHD8
Disease	617452	INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	OTUD6B
Disease	619995		OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SMG9
Disease	616367	MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	EDNRA
Disease	615399	PAROXYSMAL NOCTURNAL HEMOGLOBINURIA 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PIGT
Disease	615398	MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 3	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PIGT
Disease	cv:C0032463	Acquired polycythemia vera	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	JAK2
Disease	616489	SILVER-RUSSELL SYNDROME 3	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	IGF2
Disease	cv:C3810294	Hereditary spastic paraplegia 61	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ARL6IP1
Disease	cv:C4748374	Hearing loss, autosomal recessive 111	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZL2
Disease	cv:C3553785	Weill-Marchesani syndrome 3	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LTBP2
Disease	604116	CONE-ROD DYSTROPHY 3	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ABCA4
Disease	20090227:Carrasquillo	Alzheimer's disease	GWAS	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PCDH11X
Disease	cv:C1860808	Triosephosphate isomerase deficiency	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TPI1
Disease	153800	MACULAR DEGENERATION, AGE-RELATED, 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ABCA4
Disease	615244	NEPHROTIC SYNDROME, TYPE 8	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ARHGDIA
Disease	cv:CN315941	Neurodevelopmental disorder with intention tremor, pyramidal signs, dyspraxia, and ocular anomalies	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SMG9
Disease	604121	CEREBELLAR ATAXIA, DEAFNESS, AND NARCOLEPSY, AUTOSOMAL DOMINANT	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DNMT1
Disease	cv:C0796074	Deafness dystonia syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TIMM8A
Disease	cv:C5436656	Myofibrillar myopathy 10	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SVIL
Disease	cv:C3495438	Age related macular degeneration 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ABCA4
Disease	cv:C5562073	Immunodeficiency 91 and hyperinflammation	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ZNFX1
Disease	cv:C5543554	FAUNDES-BANKA SYNDROME	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	EIF5A
Disease	617432	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 60	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TAF13
Disease	cv:C1855465	Severe early-childhood-onset retinal dystrophy	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ABCA4
Disease	614049	ATRIAL FIBRILLATION, FAMILIAL, 11	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	GJA5
Disease	cv:C1843075	Charcot-Marie-Tooth disease dominant intermediate D	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZ
Disease	20090331:Kilpivaara	Myeloproliferative neoplasms	GWAS	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	JAK2
Disease	615184	CARDIOMYOPATHY, DILATED, 1II	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CRYAB
Disease	611819	LONG QT SYNDROME 10	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SCN4B
Disease	cv:C3554409	Hypotrichosis 11	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SNRPE
Disease	132900	AORTIC ANEURYSM, FAMILIAL THORACIC 4	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MYH11
Disease	616039	CHARCOT-MARIE-TOOTH DISEASE, RECESSIVE INTERMEDIATE D	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	COX6A1
Disease	cv:C4693798	Methemoglobinemia, alpha type	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	HBA1
Disease	cv:C3554649	Dilated cardiomyopathy 1II	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CRYAB
Disease	606367	IMMUNODEFICIENCY 41 WITH LYMPHOPROLIFERATION AND AUTOIMMUNITY	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	IL2RA
Disease	609637	HOLOPROSENCEPHALY 5	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ZIC2
Disease	619310	LEUKODYSTROPHY, HYPOMYELINATING, 21	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	POLR3K
Disease	cv:C5190691	Fatal infantile hypertonic myofibrillar myopathy	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CRYAB
Disease	cv:C1844020	Heterotaxy, visceral, 1, X-linked	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ZIC3
Disease	304790	IMMUNODYSREGULATION, POLYENDOCRINOPATHY, AND ENTEROPATHY, X-LINKED	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	FOXP3
Disease	cv:C1867005	Neurogenic scapuloperoneal syndrome, Kaeser type	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DES
Disease	cv:CN322301	Neurodevelopmental disorder with poor growth, spastic tetraplegia, and hearing loss	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PSMC1
Disease	cv:C5543519	Megacystis-microcolon-intestinal hypoperistalsis syndrome 4	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MYL9
Disease	619643	OOCYTE MATURATION DEFECT 11	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ASTL
Disease	619644	IMMUNODEFICIENCY 91 AND HYPERINFLAMMATION	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ZNFX1
Disease	605130	WIEDEMANN-STEINER SYNDROME	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	KMT2A
Disease	607791	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE D	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZ
Disease	cv:C5562033	Oocyte maturation defect 11	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ASTL
Disease	605373	PARAGANGLIOMAS 3	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SDHC
Disease	607677	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2I	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZ
Disease	301035	HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 9	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	IRS4
Disease	cv:CN315915	Glycosylphosphatidylinositol biosynthesis defect 25	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	C18orf32
Disease	306955	HETEROTAXY, VISCERAL, 1, X-LINKED	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ZIC3
Disease	cv:C4017377	Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	B3GALT6
Disease	cv:C1562061	Microspherophakia	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LTBP2
Disease	615059	HYPOTRICHOSIS 11	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SNRPE
Disease	cv:C1847406	Familial digital arthropathy-brachydactyly	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C1866040	Type 1 diabetes mellitus 10	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	IL2RA
Disease	cv:C3888087	Charcot-Marie-Tooth disease type 2I	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZ
Disease	cv:C1837317	Myofibrillar myopathy 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CRYAB
Disease	cv:C3809369	Paroxysmal nocturnal hemoglobinuria 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PIGT
Disease	618138	MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL RECESSIVE 23	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LAMA2
Disease	250800		OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CYB5R3
Disease	214700	DIARRHEA 1, SECRETORY CHLORIDE, CONGENITAL	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SLC26A3
Disease	cv:C5436906	AMED syndrome, digenic	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ADH5
Disease	601942	TYPE 1 DIABETES MELLITUS 10	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	IL2RA
Disease	619350	VISCERAL MYOPATHY 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MYH11
Disease	619351	MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MYH11
Disease	618145	DEAFNESS, AUTOSOMAL RECESSIVE 111	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZL2
Disease	184252	SPONDYLOMETAPHYSEAL DYSPLASIA, KOZLOWSKI TYPE	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C4722277	Neuropathy, congenital hypomyelinating, 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZ
Disease	618027	COFFIN-SIRIS SYNDROME 7	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DPF2
Disease	118200	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZ
Disease	cv:C0398782	Anaphylotoxin inactivator deficiency	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CPN1
Disease	cv:C4748770	Mitochondrial complex 1 deficiency, nuclear type 13	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	NDUFA2
Disease	617383	AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY, 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C3808377	Cataract 16 multiple types	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CRYAB
Disease	618235	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 13	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	NDUFA2
Disease	cv:C3279904	Glycogen storage disease due to lactate dehydrogenase H-subunit deficiency	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LDHB
Disease	619201	NEPHROTIC SYNDROME, TYPE 23	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	KIRREL1
Disease	108770	ATRIAL STANDSTILL 1	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	GJA5
Disease	cv:C5543280	Bleeding disorder, platelet-type, 24	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ITGB3
Disease	cv:C5543273	Glanzmann thrombasthenia 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ITGB3
Disease	cv:C0751335	Scapuloperoneal spinal muscular atrophy	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C2751316	Glaucoma 3, primary congenital, D	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LTBP2
Disease	615091		OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	EIF4E
Disease	618362	COFFIN-SIRIS SYNDROME 8	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SMARCC2
Disease	cv:C3809356	Multiple congenital anomalies-hypotonia-seizures syndrome 3	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PIGT
Disease	cv:C3159322	Spondyloepimetaphyseal dysplasia, Maroteaux type	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C3807295	Autosomal dominant cerebellar ataxia, deafness and narcolepsy	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DNMT1
Disease	189800	PREECLAMPSIA/ECLAMPSIA 1	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	NOS3
Disease	609465	AL-GAZALI SYNDROME	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	B3GALT6
Disease	cv:C4540327	Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	BPTF
Disease	613839	MEGALOBLASTIC ANEMIA DUE TO DIHYDROFOLATE REDUCTASE DEFICIENCY	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DHFR
Disease	cv:C3553844	Hypogonadotropic hypogonadism 11 with or without anosmia	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TACR3
Disease	cv:C5436726	Mitochondrial complex 4 deficiency, nuclear type 20	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	COX5A
Disease	cv:C3150755	Sodium serum level quantitative trait locus 1	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C5436727	Mitochondrial complex 4 deficiency, nuclear type 21	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	NDUFA4
Disease	cv:C1858154	Dilated cardiomyopathy 1I	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DES
Disease	619142	CARDIOACROFACIAL DYSPLASIA 1	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PRKACA
Disease	cv:C1853710	Charcot-Marie-Tooth disease axonal type 2C	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	cv:C3809686	Intellectual disability-feeding difficulties-developmental delay-microcephaly syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CTCF
Disease	619267	GLANZMANN THROMBASTHENIA 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ITGB3
Disease	cv:C3806174	Bardet-Biedl syndrome 18	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	BBIP1
Disease	606071	HEREDITARY MOTOR AND SENSORY NEUROPATHY, TYPE IIC	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TRPV4
Disease	614819	WEILL-MARCHESANI SYNDROME 3	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LTBP2
Disease	619271	BLEEDING DISORDER, PLATELET-TYPE, 24	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ITGB3
Disease	601631	ANTERIOR SEGMENT DYSGENESIS 3	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	FOXC1
Disease	619151	AMED SYNDROME, DIGENIC	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ADH5
Disease	cv:C3150644	Brachydactyly type E2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PTHLH
Disease	cv:C2678484	Long QT syndrome 10	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SCN4B
Disease	618184	NEUROPATHY, CONGENITAL HYPOMYELINATING, 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MPZ
Disease	154400	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SF3B4
Disease	cv:C0268193	Deficiency of cytochrome-b5 reductase	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CYB5R3
Disease	221200	DEAFNESS AND MYOPIA	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SLITRK6
Disease	cv:C3809210	Ehlers-Danlos syndrome, spondylodysplastic type, 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	B3GALT6
Disease	cv:C3538951	Microspherophakia and/or megalocornea, with ectopia lentis and with or without secondary glaucoma	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LTBP2
Disease	cv:C4693824	Ververi-Brady syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	QRICH1
Disease	cv:C2751642	Glioma susceptibility 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	PTEN
Disease	cv:CN117977	LAMA2-related muscular dystrophy	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LAMA2
Disease	cv:C1863728	Familial hemophagocytic lymphohistiocytosis 4	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	STX11
Disease	cv:C3279716	N-acetylaspartate deficiency	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	NAT8L
Disease	300475	DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	BCAP31
Disease	cv:C1836121	Al-Gazali syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	B3GALT6
Disease	304700	MOHR-TRANEBJAERG SYNDROME	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TIMM8A
Disease	601718	RETINITIS PIGMENTOSA 19	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ABCA4
Disease	619365	MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME 4	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MYL9
Disease	619244	NEURODEVELOPMENTAL DISORDER WITH CEREBRAL ATROPHY AND VARIABLE FACIAL DYSMORPHISM	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TTC5
Disease	cv:C3806275	High myopia-sensorineural deafness syndrome	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	SLITRK6
Disease	188400	DIGEORGE SYNDROME	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TBX1
Disease	143400	CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT 2	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	TBX18
Disease	cv:C1864827	Holoprosencephaly 5	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	ZIC2
Disease	cv:C5543476	Megacystis-microcolon-intestinal hypoperistalsis syndrome 2	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MYH11
Disease	618287	MUCOCUTANEOUS ULCERATION, CHRONIC	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	RELA
Disease	619376	FAUNDES-BANKA SYNDROME	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	EIF5A
Disease	cv:C4748327	Muscular dystrophy, limb-girdle, autosomal recessive 23	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	LAMA2
Disease	cv:C1851504	Aortic aneurysm, familial thoracic 4	Clinical Variations	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	MYH11
Disease	619064	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 20	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	COX5A
Disease	619065	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 21	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	NDUFA4
Disease	601419	MYOPATHY, MYOFIBRILLAR, 1	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	DES
Disease	613763	CATARACT 16, MULTIPLE TYPES	OMIM MedGen	2.047E-2	1.000E0	3.235E-2	2.165E-1	1	1	CRYAB
